timestamp,accuracy,precision,recall,f1,roc_auc
2025-06-23 10:10:04,0.772,0.77,0.781,0.774,0.849
2025-06-23 10:12:08,0.777,0.78,0.778,0.777,0.853
2025-06-23 10:13:18,0.792,0.786,0.808,0.795,0.854
2025-06-23 10:14:55,0.784,0.783,0.793,0.786,0.859
